Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FBS,Food Balances (2010-),008,Albania,645,Food supply quantity (kg/capita/yr),S2744,Eggs,2022,2022,kg/cap,15.11,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,674,Protein supply quantity (g/capita/day),S2744,Eggs,2022,2022,g/cap/d,4.53,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2848,Milk - Excluding Butter,2016,2016,1000 t,49,I,Imputed value,
FBS,Food Balances (2010-),008,Albania,645,Food supply quantity (kg/capita/yr),S2848,Milk - Excluding Butter,2016,2016,kg/cap,316.45,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,674,Protein supply quantity (g/capita/day),S2848,Milk - Excluding Butter,2016,2016,g/cap/d,35.59,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2848,Milk - Excluding Butter,2022,2022,1000 t,130,I,Imputed value,
FBS,Food Balances (2010-),008,Albania,645,Food supply quantity (kg/capita/yr),S2848,Milk - Excluding Butter,2022,2022,kg/cap,297.89,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,674,Protein supply quantity (g/capita/day),S2848,Milk - Excluding Butter,2022,2022,g/cap/d,32.79,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2761,Freshwater Fish,2016,2016,1000 t,0.28,I,Imputed value,
FBS,Food Balances (2010-),008,Albania,645,Food supply quantity (kg/capita/yr),S2761,Freshwater Fish,2016,2016,kg/cap,0.71,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,674,Protein supply quantity (g/capita/day),S2761,Freshwater Fish,2016,2016,g/cap/d,0.21,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2761,Freshwater Fish,2022,2022,1000 t,0.26,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,645,Food supply quantity (kg/capita/yr),S2761,Freshwater Fish,2022,2022,kg/cap,1.55,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,674,Protein supply quantity (g/capita/day),S2761,Freshwater Fish,2022,2022,g/cap/d,0.48,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2762,Demersal Fish,2016,2016,1000 t,0.76,I,Imputed value,
FBS,Food Balances (2010-),008,Albania,645,Food supply quantity (kg/capita/yr),S2762,Demersal Fish,2016,2016,kg/cap,1.86,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,674,Protein supply quantity (g/capita/day),S2762,Demersal Fish,2016,2016,g/cap/d,0.49,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2762,Demersal Fish,2022,2022,1000 t,0.61,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,645,Food supply quantity (kg/capita/yr),S2762,Demersal Fish,2022,2022,kg/cap,1.06,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,674,Protein supply quantity (g/capita/day),S2762,Demersal Fish,2022,2022,g/cap/d,0.27,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2763,Pelagic Fish,2016,2016,1000 t,19.99,I,Imputed value,
FBS,Food Balances (2010-),008,Albania,645,Food supply quantity (kg/capita/yr),S2763,Pelagic Fish,2016,2016,kg/cap,3.37,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,674,Protein supply quantity (g/capita/day),S2763,Pelagic Fish,2016,2016,g/cap/d,1.11,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2763,Pelagic Fish,2022,2022,1000 t,17.98,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,645,Food supply quantity (kg/capita/yr),S2763,Pelagic Fish,2022,2022,kg/cap,2.7,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,674,Protein supply quantity (g/capita/day),S2763,Pelagic Fish,2022,2022,g/cap/d,0.89,E,Estimated value,
FBS,Food Balances (2010-),008,Albania,5611,Import quantity,S2764,"Marine Fish, Other",2016,2016,1000 t,1.76,I,Imputed value,
FBS,Food Balances (2010-),008,Albania,645,Food supply quantity (kg/capita/yr),S2764,"Marine Fish, Other",2016,2016,kg/cap,0.64,E,Estimated value,
